channel1,channel2,channel3
101236,269509,345147
101081,269474,345161
100889,269399,345119
100639,269525,345131
100462,269546,345219
100324,269596,345122
100278,269504,345124
100238,269438,344999
100248,269541,345162
100268,269585,345140
100720,269508,344905
100804,269699,345019
100837,269568,345168
100914,269663,345042
100979,269616,345129
101032,269665,345071
101123,269640,345203
101198,269730,345118
101238,269635,345108
101250,269603,345039
101138,269541,345100
100957,269606,345064
100726,269641,345067
100557,269651,345156
100452,269666,345214
100406,269709,345097
100343,269632,345121
100328,269640,345038
100310,269644,345026
100324,269563,345110
100357,269535,344851
100361,269469,344837
100362,269363,344753
100353,269335,344744
100369,269327,344674
100395,269340,344819
100423,269360,344814
100487,269248,344815
100515,269357,344825
100575,269285,344884
100606,269190,344822
100611,269184,344750
100636,268989,344707
100606,268857,344625
100629,269216,344776
100686,269337,344667
100712,269409,344823
100773,269524,344741
100719,269598,344686
100587,269453,344819
100356,269707,344803
100123,269755,344864
99944,269835,344899
99809,269903,345037
99688,269927,344902
99609,269942,344835
99564,269728,344805
99527,269693,344706
99555,269608,344765
99558,269588,344699
99582,269637,344733
99590,269531,344800
99603,269530,344647
99567,269589,344761
99538,269386,344521
99466,269178,344380
99340,268852,344075
99189,268576,343901
99095,268285,343785
98970,268151,343707
98903,268159,343712
98890,268261,343723
98850,268234,343555
98847,268088,343570
98776,268081,343455
98727,267867,343533
98689,267816,343357
98537,267575,343271
98253,267396,343265
97888,267141,343190
97444,266940,342917
97233,267015,342893
97129,267135,342835
97111,267504,343085
97231,267866,343429
97453,268293,343666
97655,268686,343973
97848,269000,344039
98034,269081,344181
98170,269076,344295
98270,269049,344311
98340,269195,344340
98487,269625,344720
98639,270005,344904
98835,270396,345303
99057,270563,345435
99191,270735,345555
99332,270682,345571
99444,270537,345380
99574,270424,345502
99714,270217,345402
99767,270104,345165
99814,269633,344887
99863,269309,344668
99822,268852,344379
99734,268602,344269
99623,268584,344181
99432,268605,344290
99272,269040,344588
99170,269428,344791
99136,269539,344922
99083,269612,344747
99097,269503,344897
99165,269394,344832
99206,269201,344674
99247,269083,344727
99295,269129,344492
99322,268968,344393
99333,269070,344574
99392,269218,344478
99394,269284,344535
99393,269280,344768
99437,269347,344775
99493,269508,344657
99555,269489,344590
99634,269479,344862
99710,269636,344846
99856,269807,344994
99962,269902,345047
100054,269921,345087
100116,269905,344886
100222,269818,344977
100236,269905,344894
100236,269712,344875
